backbone,gallery_size,gallery_q,query_q,BA (95% CI),best_step,seeds
Frozen BioCLIP-2 ViT-L/14,4,0.25,0.5,0.5531 (±0.0735),90,8
Frozen BioCLIP-2 ViT-L/14,4,0.50,0.0,0.5642 (±0.0289),40,8
Frozen BioCLIP-2 ViT-L/14,4,0.50,0.25,0.5857 (±0.0379),240,8
Frozen BioCLIP-2 ViT-L/14,4,0.50,0.5,0.6150 (±0.0442),240,8
Frozen BioCLIP-2 ViT-L/14,8,0.00,0.0,0.5530 (±0.0304),90,8
Frozen BioCLIP-2 ViT-L/14,8,0.00,0.25,0.5607 (±0.0457),60,8
Frozen BioCLIP-2 ViT-L/14,8,0.00,0.5,0.5843 (±0.0869),200,8
Frozen BioCLIP-2 ViT-L/14,8,0.25,0.0,0.5814 (±0.0121),250,8
Frozen BioCLIP-2 ViT-L/14,8,0.25,0.25,0.6462 (±0.0528),240,8
Frozen BioCLIP-2 ViT-L/14,8,0.25,0.5,0.6651 (±0.0803),250,8
Frozen BioCLIP-2 ViT-L/14,8,0.50,0.0,0.5519 (±0.0334),290,8
Frozen BioCLIP-2 ViT-L/14,8,0.50,0.25,0.5731 (±0.0465),50,8
Frozen BioCLIP-2 ViT-L/14,8,0.50,0.5,0.5808 (±0.0499),50,8
Frozen BioCLIP-2 ViT-L/14,16,0.00,0.0,0.5341 (±0.0268),290,8
Frozen BioCLIP-2 ViT-L/14,16,0.00,0.25,0.5460 (±0.0464),250,8
Frozen BioCLIP-2 ViT-L/14,16,0.00,0.5,0.5659 (±0.0602),300,8
Frozen BioCLIP-2 ViT-L/14,16,0.25,0.0,0.5298 (±0.0169),150,8
Frozen BioCLIP-2 ViT-L/14,16,0.25,0.25,0.5849 (±0.0364),100,8
Frozen BioCLIP-2 ViT-L/14,16,0.25,0.5,0.5922 (±0.0269),100,8
Frozen BioCLIP-2 ViT-L/14,16,0.50,0.0,0.5462 (±0.0168),280,8
Frozen BioCLIP-2 ViT-L/14,16,0.50,0.25,0.6144 (±0.0325),280,8
Frozen BioCLIP-2 ViT-L/14,16,0.50,0.5,0.6093 (±0.0365),290,8
Frozen BioCLIP-2 ViT-L/14,32,0.00,0.0,0.5015 (±0.0074),200,8
Frozen BioCLIP-2 ViT-L/14,32,0.00,0.25,0.5099 (±0.0062),80,8
Frozen BioCLIP-2 ViT-L/14,32,0.00,0.5,0.5147 (±0.0155),270,8
Frozen BioCLIP-2 ViT-L/14,32,0.25,0.0,0.5145 (±0.0135),280,8
Frozen BioCLIP-2 ViT-L/14,32,0.25,0.25,0.5074 (±0.0083),50,8
Frozen BioCLIP-2 ViT-L/14,32,0.25,0.5,0.5375 (±0.0342),280,8
Frozen BioCLIP-2 ViT-L/14,32,0.50,0.0,0.5221 (±0.0136),210,8
Frozen BioCLIP-2 ViT-L/14,32,0.50,0.25,0.5454 (±0.0154),130,8
Frozen BioCLIP-2 ViT-L/14,32,0.50,0.5,0.5695 (±0.0318),250,8
Frozen BioCLIP-2 ViT-L/14,64,0.00,0.0,0.5001 (±0.0018),180,8
Frozen BioCLIP-2 ViT-L/14,64,0.00,0.25,0.5045 (±0.0046),270,8
Frozen BioCLIP-2 ViT-L/14,64,0.00,0.5,0.5056 (±0.0088),270,8
Frozen BioCLIP-2 ViT-L/14,64,0.25,0.0,0.5027 (±0.0067),250,8
Frozen BioCLIP-2 ViT-L/14,64,0.25,0.25,0.5024 (±0.0024),70,8
Frozen BioCLIP-2 ViT-L/14,64,0.25,0.5,0.5158 (±0.0177),300,8
Frozen BioCLIP-2 ViT-L/14,64,0.50,0.0,0.5140 (±0.0046),210,8
Frozen BioCLIP-2 ViT-L/14,64,0.50,0.25,0.5345 (±0.0220),190,8
Frozen BioCLIP-2 ViT-L/14,64,0.50,0.5,0.5245 (±0.0189),300,8
